年月,降水量(mm),日の平均気温(℃),日の最高気温(℃),日の最低気温(℃),最高気温(℃),最低気温(℃)
1988/12,0.0,8.4,12.5,4.5,17.9,0.8
1989/1,95.0,8.1,11.4,4.8,19.2,0.9
1989/2,107.0,7.5,11.1,4.3,17.2,1.9
1989/3,118.0,9.6,13.6,5.8,20.2,1.7
1989/4,187.0,15.6,19.6,11.6,24.0,7.5
1989/5,210.0,17.7,21.5,14.2,25.4,10.1
1989/6,205.0,20.7,23.8,17.8,31.1,11.7
1989/7,154.0,24.1,27.4,21.5,31.5,15.1
1989/8,360.5,27.1,30.5,24.5,33.5,21.8
1989/9,204.0,25.2,28.4,22.5,32.3,18.1
1989/10,197.0,17.5,20.7,14.5,25.9,11.2
1989/11,71.0,14.2,17.7,10.8,22.5,5.8
1989/12,29.0,9.2,12.8,5.7,20.1,2.4
1990/1,32.5,5.0,8.8,1.7,16.3,-1.4
1990/2,116.5,7.8,10.5,5.1,19.4,0.1
1990/3,97.5,10.6,14.4,7.0,21.3,4.3
1990/4,137.5,14.7,18.6,10.8,24.2,6.1
1990/5,120.5,19.2,23.1,15.8,28.4,11.0
1990/6,68.0,23.5,27.0,20.8,34.1,16.4
1990/7,51.0,25.7,29.2,22.8,34.6,17.9
1990/8,181.5,28.6,32.4,25.7,35.9,22.6
1990/9,287.0,24.8,28.1,21.9,34.0,16.8
1990/10,148.5,19.2,22.4,16.0,28.2,11.6
1990/11,234.0,15.1,19.0,11.4,25.7,5.8
1990/12,38.0,10.0,13.6,6.3,23.5,3.1
1991/1,55.0,6.3,10.1,2.8,14.4,0.1
1991/2,69.0,6.5,10.5,2.5,16.6,-0.8
1991/3,164.0,9.5,13.1,6.2,22.3,1.6
1991/4,112.5,15.4,18.8,11.9,24.7,5.0
1991/5,61.0,18.8,22.7,15.2,27.9,7.8
1991/6,142.0,23.6,26.9,20.8,34.2,16.7
1991/7,72.0,26.7,30.1,23.5,35.6,20.1
1991/8,238.0,25.5,29.1,22.6,35.2,19.6
1991/9,445.5,23.9,26.9,21.4,32.2,16.9
1991/10,533.0,18.1,20.7,15.9,28.1,12.3
1991/11,114.0,13.0,16.4,9.9,19.9,4.7
1991/12,36.0,9.2,12.7,5.7,18.8,0.9
1992/1,50.0,6.8,10.5,3.2,15.1,0.3
1992/2,36.0,6.9,10.8,3.1,20.1,-0.5
1992/3,205.0,9.7,13.1,6.5,21.7,1.7
1992/4,167.5,15.1,19.1,11.1,24.1,5.1
1992/5,134.0,17.3,21.1,13.8,27.8,9.3
1992/6,237.0,20.6,23.7,17.8,28.0,14.2
1992/7,111.5,25.5,29.2,22.4,34.7,17.0
1992/8,9.0,27.0,30.4,24.3,34.2,18.9
1992/9,108.0,23.3,26.9,20.3,35.2,14.1
1992/10,328.0,17.3,20.5,14.3,27.3,10.1
1992/11,168.0,13.0,16.9,9.6,22.5,4.4
1992/12,65.5,9.4,12.9,6.1,20.6,1.0
1993/1,115.0,6.2,9.1,3.3,12.9,1.2
1993/2,57.0,7.7,11.8,3.8,21.9,0.7
