年月,降水量(mm),日の平均気温(℃),日の最高気温(℃),日の最低気温(℃),最高気温(℃),最低気温(℃)
1988/11,346.0,8.0,11.5,4.6,18.0,0.6
1988/12,177.5,5.1,8.6,1.9,16.4,-0.9
1989/1,149.5,4.8,7.7,1.9,12.0,-3.1
1989/2,138.5,4.4,7.4,1.5,16.9,-1.9
1989/3,109.5,6.9,10.5,3.7,18.5,0.2
1989/4,128.0,11.7,16.4,7.7,25.0,1.8
1989/5,76.0,16.1,20.2,12.5,27.0,8.7
1989/6,89.5,19.8,23.6,16.7,32.8,12.3
1989/7,105.0,24.4,28.2,21.4,35.5,16.3
1989/8,116.5,26.6,30.7,23.3,34.6,18.9
1989/9,331.5,21.9,25.2,19.1,30.5,12.8
1989/10,151.0,15.7,19.9,12.0,24.8,7.6
1989/11,191.5,11.7,15.2,8.5,23.9,2.5
1989/12,233.5,6.1,8.9,2.9,17.2,-0.1
1990/1,218.0,1.9,4.8,-0.7,13.4,-4.8
1990/2,113.0,5.6,8.2,3.0,16.6,-3.1
1990/3,74.0,7.1,10.6,3.5,15.9,0.0
1990/4,118.0,12.1,16.2,8.1,23.9,2.2
1990/5,64.0,16.5,20.4,13.1,27.4,8.1
1990/6,158.0,21.9,25.8,18.6,32.9,14.6
1990/7,75.5,25.3,28.9,22.2,33.3,18.6
1990/8,85.0,27.4,31.7,23.7,37.8,19.1
1990/9,132.5,23.4,27.0,20.2,33.9,16.1
1990/10,178.5,17.1,21.0,13.4,25.6,8.7
1990/11,200.5,12.6,16.4,9.0,21.0,3.6
1990/12,179.0,7.5,10.9,4.5,20.3,0.2
1991/1,173.0,3.0,5.8,0.4,10.3,-1.5
1991/2,194.0,2.4,5.1,-0.1,12.4,-3.2
1991/3,82.5,5.7,9.2,2.7,15.6,-2.2
1991/4,90.0,12.0,16.9,7.3,25.4,0.8
1991/5,91.5,16.4,21.0,12.3,30.1,3.7
1991/6,135.0,22.1,25.7,19.3,32.4,15.3
1991/7,315.5,24.0,27.1,21.5,34.2,18.2
1991/8,156.5,24.9,28.4,21.9,35.6,15.3
1991/9,112.5,22.7,26.1,19.7,33.1,13.9
1991/10,190.5,16.8,19.9,14.2,24.1,9.6
1991/11,245.5,9.8,13.8,6.2,19.7,1.2
1991/12,132.5,6.4,9.7,3.4,15.7,-1.0
1992/1,198.5,3.9,6.6,1.3,10.6,-1.1
1992/2,205.0,2.9,6.0,0.0,15.4,-3.6
1992/3,128.0,6.5,9.8,3.4,18.1,-0.8
1992/4,126.5,11.8,16.2,7.6,26.2,3.9
1992/5,111.0,14.8,18.7,11.5,24.6,6.4
1992/6,97.5,19.7,23.5,16.2,29.6,13.0
1992/7,114.5,24.2,28.0,21.2,34.0,17.2
1992/8,88.0,26.2,30.2,23.1,34.9,20.0
1992/9,25.5,21.9,26.0,18.3,32.2,12.0
1992/10,148.0,16.1,19.7,12.5,26.0,8.2
1992/11,123.5,10.9,14.9,7.0,19.2,1.1
1992/12,188.0,6.2,9.4,3.4,17.6,-0.5
1993/1,144.5,4.1,6.9,1.4,11.2,-1.2
1993/2,167.5,4.5,7.8,1.5,18.7,-1.3
1993/3,133.5,5.6,9.6,2.1,18.5,-0.6
1993/4,87.5,10.2,14.7,6.4,27.6,1.3
1993/5,145.0,15.2,19.3,11.6,25.6,6.0
1993/6,151.5,19.4,22.8,16.9,27.2,13.3
1993/7,210.0,22.8,26.0,20.0,34.6,14.4
1993/8,181.5,23.3,26.6,20.5,31.8,17.8
1993/9,122.0,20.9,24.4,17.9,33.7,13.8
1993/10,128.5,15.2,19.1,11.3,24.7,4.9
1993/11,172.5,11.6,15.3,7.9,22.3,2.2
1993/12,187.0,5.6,8.9,2.6,15.8,-1.7
1994/1,223.0,2.5,5.4,-0.1,9.6,-2.5
1994/2,105.0,3.2,6.0,0.2,14.4,-2.9
1994/3,73.5,4.5,8.0,1.2,13.9,-1.8
1994/4,20.5,11.9,16.4,7.5,23.8,1.0
1994/5,36.5,17.6,22.6,13.4,31.5,8.1
1994/6,62.0,20.4,24.3,17.5,29.6,13.4
1994/7,63.0,26.3,29.9,23.6,34.9,18.9
1994/8,65.0,28.9,33.4,25.5,38.1,22.0
1994/9,293.0,23.9,28.0,20.2,33.2,15.5
1994/10,126.0,18.0,21.5,14.5,29.8,7.0
1994/11,167.5,10.8,14.7,7.4,21.5,1.7
1994/12,0.0,5.6,8.8,2.5,17.7,-1.1
1995/1,233.0,2.4,5.0,0.0,15.0,-2.5
1995/2,67.5,3.2,6.0,0.5,9.7,-2.5
1995/3,113.5,6.1,9.7,2.9,19.1,-0.6
1995/4,114.5,12.0,16.7,7.4,25.4,1.5
1995/5,47.5,16.6,20.8,13.0,28.1,8.8
1995/6,52.0,19.6,23.3,16.8,31.3,11.9
1995/7,358.0,24.2,27.4,21.6,34.5,18.1
1995/8,303.5,26.8,30.8,23.5,34.4,19.5
1995/9,185.0,21.0,24.8,17.6,28.2,13.4
